start	end	text
709	5050	Support for the Verge Cast comes from Quest 3, the new Mixed Reality headset from Meta.
5451	9112	Now you can expand your world in ways you never thought possible with the new Meta Quest 3.
9572	12533	Meta sent us one to try and man does this thing look futuristic.
12893	16054	With over 500 titles, it's easy to dive into whatever you're into.
16394	19075	You can check out the new Meta 3 now, available for $4.99.
19595	23856	Learn more at meta.com, see child safety guidance online, accounts for 10 years or older.
23976	27277	Certain apps, games, and experiences may be suitable for a more mature audience.
31218	32759	It's not just sci-fi anymore.
33399	35000	Virtual reality for work is here.
35721	37202	Mixed reality for work is here.
37782	41284	And companies everywhere are using them both to transform how they operate.
42104	45867	Architects are able to walk through buildings in mixed reality before they're even built.
46607	50909	Co-workers from opposite ends of the earth are working shoulder to shoulder in VR spaces.
51549	58571	And all sorts of workers, from pilots to underwater welders, are getting trained in a virtual environment that's safer and more cost-effective.
59352	60292	That's Meta for Work.
60932	65534	Giving you VR and MR Tech to work smarter, closer, safer, together.
66274	67735	Learn more at forework.meta.com.
83422	87906	Hello, and welcome to an emergency crossover episode of The Vergecast and Decoder.
88727	89387	I'm Eli Patel.
89407	90348	I host both shows.
90368	91489	I've got David Pierce with me.
92010	92290	Hello.
92830	93491	Alex Heath is here.
93831	94212	Hello.
94232	103120	We are supposed to be off on both shows this week, but given what happened with OpenAI over the weekend, which is a story about org charts in many ways,
103760	118885	We had no choice but to do an emergency episode of our podcast, especially because Alex and I spent our weekends on the phone breaking a bunch of news about the discussions that led to what at this moment is Sam Altman, Microsoft employee.
119645	124348	which I can confidently say is an outcome no one thought would happen in this entire saga.
124748	125729	This is so bananas.
126670	128291	It is the whole thing is insane.
128611	130632	I am very much in the weeds on this whole thing.
131172	134995	So, David, can you help us get through what happened this weekend?
135015	136136	Because it is crazy.
136716	136956	Yes.
137076	137377	Okay.
137397	144003	So we're going to do the following in three parts because I think this is the only way to do it in a way that makes any sense.
144463	155133	The first thing we're going to do is just basically tell the story of the last 96 hours, starting from sort of midday Friday until where we are right now.
155253	156094	Things are still changing.
156134	159957	There's a non-zero chance that real news will break while we're recording this.
160277	163740	But we're going to get as close to the moment as we can as we do this.
164020	165401	And so I just want to tell the story all the way through.
165841	168703	Then I want to talk about the org charts piece that you're talking about.
168723	172046	We're going to talk about open AI as a company and how this happened.
172106	175629	And I know that's a thing you two have spent a lot of time trying to sort through.
175709	178151	And others have done really good reporting on over the course of this weekend.
178171	179312	So we're going to talk about that.
179332	182834	And then at the very end, I wrote this down as just winners and losers.
183775	189679	But I think it's useful to talk about kind of what this landscape looks like going forward.
190020	193202	So all of that said, let's just start at the beginning.
193422	199026	And the beginning is Friday afternoon, at least as far as I can tell, out of absolutely nowhere.
199566	205311	OpenAI publishes a blog post saying in basically as many words, we have fired Sam Altman.
205891	206492	as our CEO.
206932	208153	That's where all of this begins.
208333	213178	So the board fires him, they kick Greg Brockman off of the board.
213318	215860	He then a few hours later immediately quits.
216521	222126	And as far as we understand, and you two should correct me if I'm wrong, because I think the like minutes leading up to this are very important.
222767	228132	No one, including most people at OpenAI had any idea this was coming, correct?
228752	232836	It's not only that they didn't know it was coming, they were actually on a company holiday.
233136	241244	They were taking a day of rest because of all the craziest of the previous week, where they were announcing all these products that Sam was the face of.
241785	247811	Not only were they weren't prepared, but it was actually when they were all actively not looking at what was going on at the company.
248351	251473	And then externally, the company was totally business as usual, right?
251513	255296	Sam had just been on the Hard Fork podcast.
255816	261440	He had taped an interview with Casey Newton and Kevin Roos, an interview which they had to can because he got fired two days later.
261460	268325	He had been doing other appearances, like from all external appearances, this was totally business as usual for this company.
268405	272528	And Sam was completely shocked when the board called him into a Google Meet
273228	275691	which is also very funny and fired him.
276151	284380	And for everything we understand about that Google Meet is they basically read him the statement, which is you have not been consistently candid with your communications to the board.
284741	286803	And we don't think that we can trust you or the company.
287063	287844	And that's all he got.
287924	288906	That's all anyone has gotten.
289446	297129	So, Alex, one of the things we all immediately started talking about was the ruthlessness of this statement.
297830	310515	Normally, when you're getting rid of your CEO, even if you're essentially firing your CEO, you find a way to do this sort of slowly and nicely so that they get to step away to spend more time with their family or take some time off or whatever.
310555	313176	And everybody pretends this is nice even when it's not.
314497	315599	the opposite of that.
315659	321447	I don't know that I can remember a thing that felt as much just like a knife of a blog post as this one.
321929	322929	Yeah, this is ice cold.
323249	329731	This is saying that you are firing someone in a fairly direct way for a situation like this.
329912	337234	Usually, when it is a co-founder and it is someone as high-profile as Sam Altman, like Neil, I was saying, this will be very managed.
337774	339174	It will phase out.
340215	341655	He'll phase out of the company.
341675	346597	It looks like he's wanting to pursue his passions, those kinds of words.
347737	351618	No, we have knifed Sam Altman in the back in the night.
351838	361940	And I mean, just like what Neil I was saying about this being business as usual, he was literally at a conference the day before and the night before even.
362380	364681	And I'm told was like, I've got to go.
364701	365501	I've got a meeting.
365701	368301	And I think it was right when all this was starting.
368341	375183	So he was literally on stage representing open AI with a bunch of artists in Oakland right before all this happened.
375765	383353	Okay, so all this happens, Muram Arati, the CTO of OpenAI is promoted to interim CEO, and this is where we are.
383453	387497	So then immediately, everybody starts scrambling to figure out what the hell is going on here.
387857	389459	Basically, it was the vibe at the time.
389940	394744	You guys start talking to people, and this one answer about
395625	410054	What was going on starts to trickle out and this all feels like thousands of years ago But my my memory of this is like the the leading reason became a split between sort of two factions at open AI one that said
410934	415416	Basically, we are a research project designed to make sure that we can make AI good for the world.
415937	420859	And another side that said, this is a gigantic business that we're going to continue to run like a gigantic business.
421139	426742	And that starts to percolate up as like, first sort of a leading like educated guess.
426922	429304	And then we got some reporting that said that was part of the split.
429404	437908	But how would you frame kind of what we learned in the early hours of like, what the actual fight was that led to Sam being fired?
438188	439009	Eli, what was your sense?
439409	446379	You know, I still think we don't know, especially because today, Ilya Sutskiver is saying that he regrets his actions.
446880	453870	But the theory on Friday night, on Friday night, the theory that started bubbling out and the thing everyone started talking about was.
454858	468149	that the nonprofit of open AI, which owns open AI, the commercial entity of which Sam is the CEO and Mike, the theory on Friday night that started bubbling out is that open AI is a nonprofit.
468829	472833	That's the board of directors that nonprofit controls a commercial entity.
473513	483620	of which Sam was the CEO and of which Microsoft is an investor, that board thought the commercial entity was moving too fast to commercialize LLMs, right?
483700	490505	But they thought that the danger of the products was too high for how fast Sam was moving.
491946	495307	There was some religious split, ideological split.
495347	500469	That was all very hazy between the people who believed we were on a course to destroy humanity.
501170	504991	And Sam, I've been saying, we're going to do a store for GPTs and you can make laundry buddy.
505611	506352	That was out there.
506612	508773	That was the conversation that was happening.
508853	511454	Is Sam moving too fast with a dangerous technology?
511794	512954	Did the board cannon for that?
513474	514055	Is Ilya
515235	522163	a religious believer in the idea that we need to be safer, which is what Open AI was founded to do this safely and make AGI.
522683	525746	And the existence of that tension is not new, by the way.
526167	530972	Whether or not that led to what has happened in the last four days, I think you're right, we still don't know.
531052	536137	But the existence of that tension between those two sides is pretty real and well-established at this point.
536317	541843	That tension is why we have Anthropic and why Elon is doing another AI company right now.
542164	548091	Open AI has been consistently chaotic and consistently splitting itself apart really since the beginning.
548611	553317	I just don't think anyone expected it to split from the top in such a dramatic way.
554057	561300	And, Nila, I think maybe now is where it's probably good to explain who actually made this decision, because really this comes down to six people, right?
561780	574305	And so we should go through exactly who the people were that made this decision, because increasingly it's becoming clear that now it's three people against the rest of open AI, which is just an insane position.
574705	575306	Which is insane.
575346	576988	Also, this is not a public company.
577028	579230	So we don't have a record of these votes.
579310	581793	The board has not said anything.
582413	583855	We don't know if this was a unanimous vote.
583935	585156	We don't have a majority.
585296	587799	Like the reporting is that it's a majority vote.
587819	592664	But because of what Ilya is saying today, it is actually really unclear what happened here.
592824	593625	Well, here's what we know.
594005	603154	Sam and Greg posted on X that Ilya, who is a co-founder, the chief scientist, really described to me by many as the brains of the operation.
603894	607297	One of the most influential AI researchers in the world worked at DeepMind before.
608058	612880	Kind of the AGI Doom person, I would say, the most prominent one inside the company.
613560	616461	He was the one who told Sam and Greg that they were being fired by the board.
616681	620302	At that time, the board was six people, including Sam and Greg.
620482	621983	So Greg is the board chair.
622303	626985	So the board chair found out he got fired from his own board, which is, I don't know how that works.
627865	628225	No clue.
628905	635588	What's clear, because we know Ilya was the one who communicated the message, is that the board needed a majority.
635888	637248	So they needed four people.
637768	643370	The other three members of the board, besides Ilya, are not open-eyed employees, right?
643830	645671	So they got Ilya to side with them.
646371	648872	kick Sam and Greg out without any notice.
649273	657157	And now Ilya is saying after all of this, and after pretty much all of the company is set to resign and go to Microsoft with Sam, I actually regret this.
657237	660979	And I also will go to Microsoft with Sam if we don't bring them back.
661299	662260	Okay, we're going to get to that.
662300	665922	Like, hey, Heath, unbelievable spoiler alert on this story.
666002	666462	Like, come on.
666482	666722	Sorry.
667163	669084	Anybody listening to this is well spoiled.
669164	672886	Like, if you're listening to an emergency episode of this, it's like, you're in it.
673126	673566	That's fair.
673747	673927	Yeah.
674027	676069	No, I think where all this goes is very interesting.
676109	679011	And I think that the ilia piece of this is actually super interesting.
679031	682494	But just to get back to Friday night, because I think the timeline here actually matters a lot.
682894	685456	So Friday night, we start learning the reasons it happened.
685757	692602	I believe three high level open AI employees all resign right after this all goes down with Sam and Greg.
693023	698968	Sam and Greg, as far as we can tell, and I'm curious if you guys have heard anything about this, immediately go to work spinning up a new
699528	700148	AI company.
700188	709915	I think it was very obvious to everybody immediately that they could just like have a company with an LLC and a name and people would throw billions of dollars of investment at it.
710015	710195	Yeah.
710475	719621	And so they started, the things that had been reported are that they were building, or they were thinking about building an AI chip company to rival Nvidia.
719681	724604	There's been the thing with Sam and Johnny Ive and Masa Sun working on AI hardware.
725084	727886	Sam's largest investor in Humane, which is forever hilarious.
728306	737528	Did you guys learn anything about what the like counter idea might have been if we landed in the world of Friday night where they just went off and started their own company?
737976	741997	No, and I think it's actually important to fill that in a little bit.
742017	743637	I don't know if you've ever been fired.
744257	750318	You know, the first thing you do is you plot your revenge, like very emotionally plot your revenge, right?
750999	752439	And that is what was happening.
752579	753899	That is what that communication was.
753919	754859	We'll just start a new cut.
754899	757660	Like, these are still people.
757740	762821	They are very human people, as we discovered throughout their actions of the weekend.
763661	765683	They might think they're the masters of the universe.
765803	775851	They might be playing with $80 billion worth of shareholder value, but they are people, like just deeply emotional flawed people, just like everybody else.
776211	780414	And so that first wave was very much a revenge wave.
780454	783076	Like they had no notice, so they had necessarily no plan.
783917	785058	So we'll start a new company.
785078	786058	I can get the money.
786559	787499	Everyone will come over.
788159	794783	That was a burst of communication that I think was rooted in just the emotion of the moment.
795203	797425	Then I think everyone got some sleep.
798345	808251	And then we entered into Saturday where Alex and I broke the news that the investors were pressuring the open AI board to bring these folks back.
809324	811307	which bled into today.
811327	814452	And again, the absolutely unpredictable outcome of today.
814832	821963	But I think the Friday night, we're just going to go start a new company was just the first heated emotion of that moment.
822684	824246	And all the people around them
824867	830475	We're very much saying, hold up, can we just control Z this thing and fix it?
830795	835802	I heard my interest is just fixing it very directly from some people.
835902	836984	I'm just trying to fix it.
837024	837725	This is ridiculous.
837785	838666	It should have never happened.
839687	841310	I believe that, but also,
841830	843991	Alex, tell me if you agree with me on this or not.
844111	851673	I would assume that every venture capitalist on earth with Sam Altman's phone number called him on Friday night and said, tell me how to give you money for your next thing.
852393	852773	For sure.
853533	857735	So, I mean, is your point that they should have just left and not tried to?
858055	866157	No, I think, Neal, I think you're right, but I also think the sort of parallel universe in which they went to start that company is not that far off.
866417	868938	I'm not saying it was impossible, right?
868998	872259	It was a very easily accomplished thing, I think you're correct.
872299	875280	The money was flowing, the support was public, right?
876180	885102	You saw the node COSLA who runs COSLA Ventures just publicly tweeting how much he supported, like the money was available from all of his existing investors, probably from Microsoft, right?
885843	893065	But the thing that I'm just trying to underline here is that first wave on Friday night of we'll start our own thing was reflexive.
893985	894866	It was not considered.
895307	902134	And there's a big gap between we'll support you in whatever your next thing is and writing a check against the business plan.
902714	907239	And that gap was as far as we can tell, but no one ever thought about crossing that chasm.
907660	908260	OK, that's fair.
908320	908520	All right.
908601	913325	And so let's get to Saturday, because that's when stuff gets even weirder somehow.
913546	915047	But first, we're going to take a quick break.
915107	915528	We'll be right back.
921300	925802	This podcast is brought to you by MetaQuest 3, the new mixed reality headset from Meta.
926403	930485	Now you can expand your world in ways you never thought possible with the new MetaQuest 3.
931085	939469	Put on the sleek, most powerful quest yet, and jump into fully immersive games, or blend virtual elements into your physical surroundings with mixed reality.
939930	943412	Instantly go from watching to playing the part in your favorite show with Stranger Things VR.
944412	949893	Live the action and really feel what it's like to step into the shoes of an assassin in Assassin's Creed Nexus.
950554	955495	Even turn your couch into courtside seats with X Stadium and watch your favorite NBA team.
955995	959936	With over 500 titles, it's easy to dive into whatever you're into.
960416	962516	Expand your world with MetaQuest 3.
962936	964077	See Child Safety Guidance online.
964177	964837	Accounts for 10 and up.
964917	967157	Certain apps, games and experiences may be suitable for a more mature audience.
967458	968958	Learn more at meta.com.
974634	976155	It's not just sci-fi anymore.
976815	978416	Virtual reality for work is here.
979136	980616	Mixed reality for work is here.
981197	984678	And companies everywhere are using them both to transform how they operate.
985498	989260	Architects are able to walk through buildings in mixed reality before they're even built.
990000	994321	Co-workers from opposite ends of the earth are working shoulder to shoulder in VR spaces.
994961	1001983	And all sorts of workers, from pilots to underwater welders, are getting trained in a virtual environment that's safer and more cost-effective.
1002763	1003703	That's Meta for Work.
1004343	1008944	Giving you VR and MR Tech to work smarter, closer, safer, together.
1009664	1011145	Learn more at forework.meta.com.
1020111	1020631	All right, we're back.
1020952	1021772	So we've had the breakup.
1022412	1025134	We've had the feelings, at least putting up angsty away messages.
1025794	1032398	And then Saturday morning in the Bay Area somewhere, reconciliation begins.
1032879	1035560	Neal, I take me through like the beginning of the story on Saturday.
1036081	1046127	So what we had heard is the investors in OpenAI, which is mostly the commercial entity, they're putting a lot of pressure on, hey, we need to at least know what happened.
1046167	1049249	We need to know your reasoning and we need to see if we can resolve this situation.
1050109	1054171	That led to what I am guessing is yet more Google Meet calls.
1054211	1060994	And I just want to keep highlighting this because I think we are all imagining some like very tense in-person meetings.
1061634	1064355	And really, everyone was kind of just on the phone.
1064375	1067997	I mean, we're all imagining the board room from succession, right?
1068037	1069817	That's what's in everybody's mind as we go through this.
1069857	1073799	Like a bunch of people sitting around a table raising their hands like with great intention.
1074239	1075840	I'm saying, I don't even know if their cameras were on.
1077221	1082403	This is a lot of people who are alone or in small groups of people in various places.
1082904	1089227	Also, just very important note, $10 billion from Microsoft can still not make you use Teams.
1093650	1095011	It is the most important.
1095692	1097354	So we start hearing there's all this pressure.
1097975	1101519	And Alex actually hears, hey, they might bring him back.
1101579	1103342	So Alex and I just start calling everyone.
1103782	1104363	And we broke this.
1104463	1111592	We beat, I don't remember who we beat, but we beat someone by six minutes to the story that open as board is in negotiations to bring Altman back.
1112132	1117276	And the most important piece of that story is he was ambivalent about it.
1117556	1118597	That was reporting that we had.
1119238	1123161	And his condition was, I'm not going to go work for these people again.
1123201	1124662	They just fired me for no reason.
1125222	1127284	They all have to go, which is understandable.
1129245	1131547	Just an incredible condition to impose, right?
1131927	1136491	So even from that moment, like we get this reporting, we break the story, we're like high fiving.
1136651	1139953	I'm thinking and Alex is thinking, OK, to make this happen,
1141054	1145835	four people have to publicly admit they made a mistake and resign in disgrace.
1146455	1148516	Yeah, this is a high mountain.
1149056	1150436	Who knows what will happen next.
1150516	1151936	And then we spent the rest of the weekend on the phone.
1152316	1160898	Yeah, Alex, what was your sense of whether that those were kind of real requests, whether that was again, Sam saying, I'd like to come back.
1160978	1164699	Here's my rational list of what it will take or Sam being like,
1165539	1166400	Fuck me fuck you.
1167440	1176545	I think it was pretty clear that Sam had the upper hand as of like Saturday midday and then you know We had reported that they had a 5 p.m.
1176625	1189632	Deadline to reach a deal with the board and The thing that was going to happen at that point was if it wasn't reached Sam's camp was telling the board there's gonna be mass resignations You know the entire company is behind us
1189972	1191413	Is that why you think he had the upper hand?
1191913	1195714	Just because it was so clear so quickly that OpenAI as a company was behind him?
1196035	1203698	I think what everyone underestimated is the resolve of what ultimately was three people to not have him come back.
1203738	1206659	And the thing is the board has been radio silent.
1206819	1215403	Aside from that initial statement and an internal email that reiterated the statement to employees Sunday night, no one from the board has said anything publicly.
1215423	1217004	They haven't elaborated on anything.
1217104	1217744	So that's important.
1218364	1222047	But it seemed like Sam was getting the upper hand the 5 p.m.
1222087	1230475	Deadline passes on Saturday I'm at a party and Eli is like where I'm like stepping aside and you guys calling me and we're like What is happening?
